2026-01-15 21:23:51.526 [info] Using Cloud Code URL: https://daily-cloudcode-pa.googleapis.com
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:58192
2026-01-15 21:23:51.526 [info] update#setState idle
2026-01-15 21:23:52.553 [error] Error: invalid_grant
    at Gaxios._request (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\gaxios\build\cjs\src\gaxios.js:154:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async OAuth2Client.refreshTokenNoCache (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\google-auth-library\build\src\auth\oauth2client.js:259:19)
2026-01-15 21:23:52.558 [error] Error initializing AntigravityAuthMainService: invalid_grant
2026-01-15 21:23:54.898 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:23:57.923 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:00.929 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:03.927 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:06.940 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:09.942 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:10.633 [warning] No ptyHost heartbeat after 6 seconds
2026-01-15 21:24:12.951 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:15.972 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:18.961 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:21.521 [info] update#setState checking for updates
2026-01-15 21:24:21.776 [info] update#setState idle
2026-01-15 21:24:21.973 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:24.970 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:27.978 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:30.995 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:33.998 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:36.996 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:40.018 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:43.015 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:46.025 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:49.028 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:52.037 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:55.038 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:24:58.047 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:01.046 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:04.071 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:07.087 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:10.079 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:13.098 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:16.088 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:19.098 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:22.096 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:25.109 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:28.109 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:31.129 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:34.151 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:37.152 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:40.173 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:43.159 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:46.161 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:49.178 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:52.208 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:55.193 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:25:58.204 [error] Failed to fetch NUXes: invalid_grant
